current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,20,5mm,1,10.000,3.500,35.000,1.225,1.5,0.207062792,0.207062792,0.253546276,0.935,fragment,PE,,,,,a,fragment,,,W * (W/H),,,PE,0.935
Center North Atlantic Gyre,20,rest,2,7.500,0.250,6.100,0.250,,0.182574186,0.101222041,,na,line,na,,,,,b,pellet,,,0.8,,,PP,0.875
Center North Atlantic Gyre,20,,3,7.496,4.173,18.300,0.009,,0.001537657,0.002010356,,0.875,film,PP,,,,,c,film,,,0.0086,,,PS,1.07
Center North Atlantic Gyre,20,,4,6.155,4.046,14.880,0.009,,0.001723342,0.002229446,,na,film,*undetermined polymer,,,,,d,line,,,0.25,,,PVC,1.34
Center North Atlantic Gyre,20,,5,3.116,1.672,4.070,0.009,,0.003767746,0.004262862,,na,film,*undetermined polymer,,,,,e,foam,,,W * (W/H),,,OM?,na
Center North Atlantic Gyre,20,,6,3.592,2.645,6.930,0.009,,0.002790085,0.00326687,,na,film,na,,,,,,,,,foutje,,,,na
Center North Atlantic Gyre,20,,7,1.689,0.987,1.310,0.009,,0.006660779,0.007513855,,na,film,na,,,,,,,,,,,,,
Center North Atlantic Gyre,20,,8,1.413,0.888,0.990,0.009,,0.007677519,0.008643325,,na,film,na,,,,,,,,,,,,,
Center North Atlantic Gyre,20,,9,2.373,0.811,1.580,0.009,,0.00619925,0.006841793,,na,film,na,,,,,,,,,,,,,
Center North Atlantic Gyre,20,,10,1.560,1.086,1.310,0.009,,0.006607258,0.007513855,,na,film,na,,,,,,,,,,,,,
Center North Atlantic Gyre,20,,11,9.739,0.250,6.479,0.250,,0.160218559,0.098216854,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,5mm,12,11.000,4.500,na,1.841,2.5,0.261655425,na,0.355334527,na,fragment,NIR,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,13,6.000,4.000,na,2.667,0.5,0.544331054,na,0.102062073,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,14,5.200,4.000,na,3.077,4,0.674660015,na,0.877058019,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,15,90.000,29.000,na,0.009,0.009,0.000168336,na,0.000176166,0.935,Film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,16,8.000,6.000,na,4.500,4,0.649519053,na,0.577350269,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,17,6.000,5.000,na,4.167,2.5,0.760725774,na,0.456435465,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,18,5.000,5.000,na,4.000,2,0.8,na,0.4,0.935,pellet,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,19,21.000,11.000,na,0.009,0.009,0.000565838,na,0.000592157,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,20,5.300,5.000,na,4.717,1,0.916307417,na,0.194257172,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,21,5.500,4.000,na,2.909,2,0.620220266,na,0.426401433,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,22,6.000,6.000,na,6.000,3,1,na,0.5,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,23,5.200,4.000,na,3.077,2,0.674660015,na,0.43852901,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,24,7.000,4.000,na,2.286,0.5,0.431959398,na,0.094491118,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,25,6.000,3.500,na,2.042,0.4,0.445528193,na,0.087287156,na,fragment,NIR,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,26,10.000,6.000,na,0.009,0.009,0.001110255,na,0.001161895,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,27,16.000,7.000,na,0.009,0.009,0.000812624,na,0.00085042,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,28,19.000,6.000,na,0.009,0.009,0.000805464,na,0.000842927,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,29,11.000,9.000,na,0.009,0.009,0.000864333,na,0.000904534,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,30,27.000,10.000,na,0.009,0.009,0.000523379,na,0.000547723,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,31,5.200,4.000,na,0.009,0.009,0.001885675,na,0.001973381,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,2mm (FS),32,4.495,3.779,10.134,3.177,,0.770851628,0.998007116,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,33,3.935,3.226,7.816,2.645,,0.742299964,0.946001258,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,34,4.240,3.610,10.936,3.074,,0.785619072,0.929435586,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,35,3.554,2.741,6.597,2.114,,0.677309891,0.823052248,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,36,5.410,3.600,14.294,2.396,,0.542822516,0.633622875,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,37,5.070,2.758,9.629,1.500,,0.401217118,0.483492755,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,38,4.265,2.758,9.153,1.783,,0.52001137,0.589505358,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,39,5.647,4.731,15.721,0.009,,0.001663846,0.002168994,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,40,6.034,3.654,13.938,0.009,,0.001831519,0.002303553,,0.935,film,PE,,,,,,,,,,,,,
