current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);CSF (LxW);CSF (A);CSF(>5mm);CSF(LxW+5mm));D;category;PT;
Center North Atlantic Gyre;20;5mm;1;10;3,5;35;1,225;1,5;0,207062792;0,207062792;0,253546276;0,253546276;0,935;fragment;PE;
Center North Atlantic Gyre;20;5mm;2;7,5;0,83;6,1;0,83;;0,182574186;0,101222041;;0,182574186;na;line;na;
Center North Atlantic Gyre;20;5mm;3;7,496;4,173;18,3;0,009;0,009;0,001537657;0,002010356;0,001609176;0,001609176;0,875;film;PP;
Center North Atlantic Gyre;20;5mm;4;6,155;4,046;14,88;0,009;0,009;0,001723342;0,002229446;0,001803497;0,001803497;na;film;*undetermined polymer;
Center North Atlantic Gyre;20;1mm;5;3,116;1,672;4,07;0,009;;0,003767746;0,004262862;;0,003767746;na;film;*undetermined polymer;
Center North Atlantic Gyre;20;1mm;6;3,592;2,645;6,93;0,009;;0,002790085;0,00326687;;0,002790085;na;film;na;
Center North Atlantic Gyre;20;0.5mm;7;1,689;0,987;1,31;0,009;;0,006660779;0,007513855;;0,006660779;na;film;na;
Center North Atlantic Gyre;20;0.5mm;8;1,413;0,888;0,99;0,009;;0,007677519;0,008643325;;0,007677519;na;film;na;
Center North Atlantic Gyre;20;0.5mm;9;2,373;0,811;1,58;0,009;;0,00619925;0,006841793;;0,00619925;na;film;na;
Center North Atlantic Gyre;20;0.5mm;10;1,56;1,086;1,31;0,009;;0,006607258;0,007513855;;0,006607258;na;film;na;
Center North Atlantic Gyre;20;5mm;11;9,739;0,83;6,479;0,83;;0,160218559;0,098216854;;0,160218559;0,935;line;PE;
Center North Atlantic Gyre;21;5mm;12;11;4,5;na;1,841;2,5;0,261655425;na;0,355334527;0,355334527;na;fragment;NIR;
Center North Atlantic Gyre;21;5mm;13;6;4;na;2,667;0,5;0,544331054;na;0,102062073;0,102062073;0,875;fragment;PP;
Center North Atlantic Gyre;21;5mm;14;5,2;4;na;3,077;4;0,674660015;na;0,877058019;0,877058019;0,875;fragment;PP;
Center North Atlantic Gyre;21;5mm;15;90;29;na;0,009;0,009;0,000168336;na;0,000176166;0,000176166;0,935;film;PE;
Center North Atlantic Gyre;21;5mm;16;8;6;na;4,5;4;0,649519053;na;0,577350269;0,577350269;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;17;6;5;na;4,167;2,5;0,760725774;na;0,456435465;0,456435465;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;18;5;5;na;4;2;0,8;na;0,4;0,4;0,935;pellet;PE;
Center North Atlantic Gyre;21;5mm;19;21;11;na;0,009;0,009;0,000565838;na;0,000592157;0,000592157;0,935;film;PE;
Center North Atlantic Gyre;21;5mm;20;5,3;5;na;4,717;1;0,916307417;na;0,194257172;0,194257172;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;21;5,5;4;na;2,909;2;0,620220266;na;0,426401433;0,426401433;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;22;6;6;na;6;3;1;na;0,5;0,5;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;23;5,2;4;na;3,077;2;0,674660015;na;0,43852901;0,43852901;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;24;7;4;na;2,286;0,5;0,431959398;na;0,094491118;0,094491118;0,935;fragment;PE;
