current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;20;5mm;1;10;3,5;35;1,225;1,5;fragment;PE;
Center North Atlantic Gyre;20;5mm;2;7,5;0,83;6,1;0,83;;line;na;
Center North Atlantic Gyre;20;5mm;3;7,496;4,173;18,3;0,009;0,009;film;PP;
Center North Atlantic Gyre;20;5mm;4;6,155;4,046;14,88;0,009;0,009;film;*undetermined polymer;
Center North Atlantic Gyre;20;1mm;5;3,116;1,672;4,07;0,009;;film;*undetermined polymer;
Center North Atlantic Gyre;20;1mm;6;3,592;2,645;6,93;0,009;;film;na;
Center North Atlantic Gyre;20;0.5mm;7;1,689;0,987;1,31;0,009;;film;na;
Center North Atlantic Gyre;20;0.5mm;8;1,413;0,888;0,99;0,009;;film;na;
Center North Atlantic Gyre;20;0.5mm;9;2,373;0,811;1,58;0,009;;film;na;
Center North Atlantic Gyre;20;0.5mm;10;1,56;1,086;1,31;0,009;;film;na;
Center North Atlantic Gyre;20;5mm;11;9,739;0,83;6,479;0,83;;line;PE;
Center North Atlantic Gyre;21;5mm;12;11;4,5;na;1,841;2,5;fragment;NIR;
Center North Atlantic Gyre;21;5mm;13;6;4;na;2,667;0,5;fragment;PP;
Center North Atlantic Gyre;21;5mm;14;5,2;4;na;3,077;4;fragment;PP;
Center North Atlantic Gyre;21;5mm;15;90;29;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;16;8;6;na;4,5;4;fragment;PE;
Center North Atlantic Gyre;21;5mm;17;6;5;na;4,167;2,5;fragment;PE;
Center North Atlantic Gyre;21;5mm;18;5;5;na;4;2;pellet;PE;
Center North Atlantic Gyre;21;5mm;19;21;11;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;20;5,3;5;na;4,717;1;fragment;PE;
Center North Atlantic Gyre;21;5mm;21;5,5;4;na;2,909;2;fragment;PE;
Center North Atlantic Gyre;21;5mm;22;6;6;na;6;3;fragment;PE;
Center North Atlantic Gyre;21;5mm;23;5,2;4;na;3,077;2;fragment;PE;
Center North Atlantic Gyre;21;5mm;24;7;4;na;2,286;0,5;fragment;PE;
Center North Atlantic Gyre;21;5mm;25;6;3,5;na;2,042;0,4;fragment;NIR;
Center North Atlantic Gyre;21;5mm;26;10;6;na;0,009;0,009;film;PP;
Center North Atlantic Gyre;21;5mm;27;16;7;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;28;19;6;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;29;11;9;na;0,009;0,009;film;PP;
Center North Atlantic Gyre;21;5mm;30;27;10;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;31;5,2;4;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;2mm (AEW);32;4,495;3,779;10,134;3,177;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);33;3,935;3,226;7,816;2,645;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);34;4,24;3,61;10,936;3,074;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);35;3,554;2,741;6,597;2,114;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);36;5,41;3,6;14,294;2,396;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);37;5,07;2,758;9,629;1,5;;fragment;PP;
Center North Atlantic Gyre;21;2mm (AEW);38;4,265;2,758;9,153;1,783;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);39;5,647;4,731;15,721;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;2mm (AEW);40;6,034;3,654;13,938;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;2mm (AEW);41;3,347;2,758;6,33;2,273;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);42;4,793;3,628;10,698;2,746;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);43;4,098;2,946;7,489;2,118;;fragment;PE;
Center North Atlantic Gyre;21;2mm (AEW);44;4,144;2,546;6,478;0,009;;film;PE;
Center North Atlantic Gyre;21;2mm (AEW);45;3,855;3,169;8,053;0,009;;film;PE;
Center North Atlantic Gyre;21;5mm;46;7,273;4,774;18,128;0,009;0,009;film;PP;
Center North Atlantic Gyre;21;5mm;47;6,36;3,577;15,899;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;48;7,143;3,793;19,762;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;2mm (AEW);49;4,209;3,448;9,302;0,009;;film;PE;
Center North Atlantic Gyre;21;1mm (FS);50;1,97;1,615;2,29;1,324;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);51;2,336;1,775;2,495;1,349;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);52;1,558;1,194;1,292;0,915;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);53;3,044;2,239;4,767;1,647;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);54;3,077;1,742;3,141;0,009;;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);55;3,974;1,782;5,124;0,799;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);56;2,008;1,642;2,161;1,343;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);57;3,117;2,604;5,747;2,175;;fragment;PE;
Center North Atlantic Gyre;21;5mm;58;5,942;2,985;8,866;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;5mm;59;5,406;2,38;8,176;0,009;0,009;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);60;3,918;2,353;6,572;0,009;;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);61;2,278;1,791;2,495;0,009;;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);62;2,67;1,939;3,163;0,009;;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);63;3,94;2,318;6,839;1,364;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);64;2,278;1,642;2,673;1,184;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);65;1,493;1,194;1,247;0,955;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);66;3,273;2,836;6,015;2,457;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);67;2,36;1,642;2,673;1,142;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);68;3,918;2,802;7,596;2,004;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);69;3,384;2,945;7,262;2,563;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);70;2,752;1,933;3,587;1,358;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);71;2,153;1,54;1,849;1,102;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);72;4,274;2,136;6,082;1,068;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);73;5,29;2,687;9,267;1,365;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);74;5,53;2,388;9,178;1,031;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);75;3,354;2,431;5,302;1,762;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);76;4,06;2,348;6,861;1,358;;fragment;PE;
