"current","sample","length","width","height_est","height_obs","category","poly_type","Two_dim","Film","Line"
"Center North Atlantic Gyre",20,14.5238095238095,0.25,0.25,NA,"Line",NA,1,0,1
"Center North Atlantic Gyre",20,7.496,4.173,0.009,NA,"Film","PP",1,1,0
"Center North Atlantic Gyre",20,6.155,4.046,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,3.116,1.672,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,3.592,2.645,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,1.689,0.987,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,1.413,0.888,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,2.373,0.811,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,1.56,1.086,0.009,NA,"Film",NA,1,1,0
"Center North Atlantic Gyre",20,15.4261904761905,0.25,0.25,NA,"Line","PE",1,0,1
"Center North Atlantic Gyre",21,6,4,2.667,0.5,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",21,5.2,4,3.077,4,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",21,8,6,4.5,4,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,6,5,4.167,2.5,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,5,5,4,2,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,21,11,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,5.3,5,4.717,1,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,5.5,4,2.909,2,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,6,6,6,3,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,5.2,4,3.077,2,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,7,4,2.286,0.5,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,6,3.5,2.042,0.4,"Fragment",NA,0,0,0
"Center North Atlantic Gyre",21,10,6,0.009,NA,"Film","PP",1,1,0
"Center North Atlantic Gyre",21,16,7,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,19,6,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,11,9,0.009,NA,"Film","PP",1,1,0
"Center North Atlantic Gyre",21,5.2,4,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,4.495,3.779,3.177,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,3.935,3.226,2.645,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,4.24,3.61,3.074,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,3.554,2.741,2.114,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,5.41,3.6,2.396,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,5.07,2.758,1.5,NA,"Fragment","PP",0,0,0
"Center North Atlantic Gyre",21,4.265,2.758,1.783,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,5.647,4.731,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,6.034,3.654,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,3.347,2.758,2.273,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,4.793,3.628,2.746,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,4.098,2.946,2.118,NA,"Fragment","PE",0,0,0
"Center North Atlantic Gyre",21,4.144,2.546,0.009,NA,"Film","PE",1,1,0
"Center North Atlantic Gyre",21,3.855,3.169,0.009,NA,"Film","PE",1,1,0
